회원번호,frequency,monetary,가격구간,region_tier,age_gender_segment,treatment_h4,future_is_vip,vip_conversion_score_logit,vip_conversion_score_rf
740479040,6,452722,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,0.0,1,0.5654954901097493,0.7856200226722231
469460352,12,571355,Q4_고가,Tier3_배송취약권(가정),40s_F,0.0,0,0.7774546423690243,0.7852801024566887
1482706432,12,604037,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,,0,0.7067779399985589,0.7851253089493934
626531776,21,652913,Q3,Tier2_익일배송표준권(가정),40s_F,1.0,0,0.7164800269928437,0.7849967624084111
594211392,15,705748,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,0.0,0,0.7408253167463965,0.7842324621257264
473190912,24,735993,Q3,Tier1_새벽배송가능권(가정),50s_F,0.0,0,0.8730969818234529,0.7841309381464339
724762432,13,494685,Q3,Tier3_배송취약권(가정),50s_F,0.0,1,0.6563330566216302,0.7839005115480537
80080832,11,509335,Q3,Tier3_배송취약권(가정),50s_F,0.0,0,0.7799922450913259,0.7835724930539881
557457024,14,443950,Q3,Tier2_익일배송표준권(가정),50s_F,1.0,0,0.7929856721131981,0.7835321251993674
768751488,24,704542,Q2,Tier3_배송취약권(가정),40s_F,1.0,0,0.8928436116071011,0.7834122125309207
1050737280,23,500139,Q2,Tier3_배송취약권(가정),40s_F,1.0,1,0.7104497759571691,0.7832637693714871
1019435840,19,532744,Q2,Tier2_익일배송표준권(가정),50s_F,0.0,0,0.7064251754954008,0.7830825389315537
747669184,7,717139,Q4_고가,Tier3_배송취약권(가정),50s_F,0.0,0,0.8808643052091651,0.7830658274973171
39653440,31,544745,Q1_저가,Tier3_배송취약권(가정),60+_F,0.0,1,0.6938042584422953,0.7829191480946314
1584142400,6,722979,Q4_고가,Tier2_익일배송표준권(가정),50s_F,0.0,0,0.8884156130830821,0.7826792133008043
1223009344,15,696561,Q3,Tier3_배송취약권(가정),50s_F,1.0,0,0.8383377202344879,0.7824575203942195
786530112,9,495331,Q4_고가,Tier3_배송취약권(가정),40s_F,0.0,0,0.6745121946093926,0.7823694843866439
90916160,18,666869,Q3,Tier2_익일배송표준권(가정),40s_F,0.0,0,0.7257611201805758,0.7821826219497927
587253248,15,659227,Q3,Tier1_새벽배송가능권(가정),40s_F,0.0,0,0.810334514715205,0.7813373571854857
774644288,21,677989,Q3,Tier1_새벽배송가능권(가정),60+_F,0.0,0,0.7767759639831451,0.7804229466379009
777463552,24,642004,Q2,Tier2_익일배송표준권(가정),40s_F,0.0,0,0.7771365786432582,0.7803413914869362
371454272,12,686370,Q4_고가,Tier2_익일배송표준권(가정),30s_F,1.0,0,0.860204879270132,0.7797668238799769
559270336,29,493727,Q1_저가,Tier2_익일배송표준권(가정),40s_F,,1,0.6846282163723323,0.7793386396096742
424886656,15,566476,Q3,Tier3_배송취약권(가정),60+_F,0.0,0,0.8111089886018474,0.7793140069692687
