회원번호,age_gender_segment,treatment_h4,p_control,p_treated,uplift
52515520,60+_F,0.0,0.38338453988145227,0.3825844506182648,-0.0008000892631874756
52519232,40s_F,1.0,0.8570188934190227,0.906227943888619,0.04920905046959634
52534080,40s_F,0.0,0.1119258457453466,0.13590943342801448,0.02398358768266788
52558208,50s_F,1.0,0.8640737361083726,0.8706748653240147,0.006601129215642154
52606464,40s_F,0.0,0.41099486900158694,0.39862436881315155,-0.012370500188435385
52767936,40s_F,,0.8867570621336592,0.9113447851331667,0.02458772299950751
52777216,40s_F,0.0,0.0903941774933597,0.14529977568950694,0.05490559819614724
52792064,40s_F,,0.9036900561015737,0.9157972240535748,0.012107167952001063
52821760,50s_F,0.0,0.4539289645844092,0.5707125835202013,0.11678361893579209
52879296,40s_F,0.0,0.25188478182068885,0.2861287138588299,0.03424393203814102
52886720,50s_F,1.0,0.7723533196331469,0.8030489434013312,0.030695623768184244
52903424,40s_F,0.0,0.932874112838683,0.8930950190654131,-0.039779093773269936
52931264,40s_F,0.0,0.8242923784358439,0.8769801902049157,0.05268781176907178
52953536,50s_F,0.0,0.7576391822391577,0.8058857269246046,0.04824654468544687
53105728,40s_F,1.0,0.8701411762640551,0.8712112859747358,0.0010701097106807778
53157696,50s_F,1.0,0.08462734323788229,0.09426363761206763,0.009636294374185339
53165120,60+_F,1.0,0.7037353195388224,0.614995276539211,-0.08874004299961136
53345152,30s_F,,0.7309493977269927,0.8243809294813499,0.09343153175435714
53361856,40s_F,0.0,0.28823783571423917,0.3297169813893268,0.04147914567508765
53365568,40s_F,0.0,0.10662874533226868,0.12907065162986966,0.022441906297600983
53367424,50s_F,0.0,0.8757928704478318,0.9081735237185617,0.03238065327072992
53372992,40s_F,1.0,0.07756623842039441,0.12165697432704455,0.044090735906650136
53382272,40s_F,0.0,0.6022447540769711,0.6970285825994267,0.0947838285224556
53384128,40s_M,0.0,0.6012294247913382,0.6381402123617097,0.03691078757037147
53432384,60+_F,0.0,0.9039473398261012,0.9098327201042493,0.005885380278148111
53465792,50s_F,0.0,0.2744105095418302,0.23805406702266813,-0.03635644251916209
53543744,40s_F,0.0,0.7448832255861401,0.7743391481096797,0.02945592252353968
53766464,40s_F,,0.19432128707248475,0.21156032586966883,0.01723903879718408
53844416,40s_F,0.0,0.906002756319526,0.9199115748679485,0.013908818548422519
53848128,60+_M,,0.4891088907202641,0.386429986777093,-0.10267890394317108
53874112,40s_F,1.0,0.556714589044872,0.5207778093554762,-0.03593677968939579
53905664,40s_F,0.0,0.3844781281202675,0.4324769150160097,0.04799878689574222
53942784,40s_F,0.0,0.3280604686329831,0.2979015346283522,-0.030158934004630877
54067136,40s_F,1.0,0.1881365560726394,0.21896003938317538,0.03082348331053597
54078272,40s_F,0.0,0.8316805610203457,0.853014765711617,0.02133420469127134
54109824,60+_F,0.0,0.7647470224070025,0.8321308165565428,0.06738379414954021
